core,arm,structure,seed,value
Allegro,SO(3),mp-7437,1,0.4636213509797195
Allegro,SO(3),mp-755925,1,0.5856983971501104
Allegro,SO(3),mp-1209810,2,0.65526719211232
Allegro,SO(3),mp-694931,2,0.34491511561577787
Allegro,SO(3),mp-1111628,2,0.2075103012304119
Allegro,SO(3),mp-1188923,2,0.5634963188851346
Allegro,SO(3),mp-1182484,2,0.7248006922491638
Allegro,SO(3),mp-11641,2,0.6648225901168608
Allegro,SO(3),mp-677242,2,0.6900867754861052
Allegro,SO(3),mp-5767,2,0.6634143210968468
Allegro,SO(3),mp-1213705,2,0.6913048618269269
Allegro,SO(3),mp-1227053,2,0.4827895603576896
Allegro,SO(3),mp-1174267,2,0.475080686647504
Allegro,SO(3),mp-766486,2,0.4475505688569143
Allegro,SO(3),mp-754349,2,0.7220191900975391
Allegro,SO(3),mp-1223924,2,0.49954807473836144
Allegro,SO(3),mp-1025162,2,0.1503890848450325
Allegro,SO(3),mp-19965,2,0.2785769324365016
Allegro,SO(3),mp-15567,2,0.7754209180399152
Allegro,SO(3),mp-755225,2,0.6345117556740004
Allegro,SO(3),mp-7437,2,0.6642611114083524
Allegro,SO(3),mp-755925,2,0.639736654370567
NequIP,O(3),mp-1209810,0,1.750629726935965e-07
NequIP,O(3),mp-694931,0,7.810183846237602e-08
NequIP,O(3),mp-1111628,0,6.24801371794027e-08
NequIP,O(3),mp-1188923,0,1.2633113961001205e-07
NequIP,O(3),mp-1182484,0,1.3813145511582595e-07
NequIP,O(3),mp-11641,0,1.8786251200585845e-07
NequIP,O(3),mp-677242,0,1.6544517885815927e-07
NequIP,O(3),mp-5767,0,1.817002109625366e-07
NequIP,O(3),mp-1213705,0,2.1048282317110207e-07
NequIP,O(3),mp-1227053,0,2.078701307023708e-08
NequIP,O(3),mp-1174267,0,1.5897084605311132e-07
NequIP,O(3),mp-766486,0,8.297250619181853e-08
NequIP,O(3),mp-754349,0,3.106357302498744e-07
NequIP,O(3),mp-1223924,0,1.884199535614866e-07
NequIP,O(3),mp-1025162,0,4.6812852735334186e-08
NequIP,O(3),mp-19965,0,1.2948733427033003e-07
NequIP,O(3),mp-15567,0,1.569756663170849e-07
NequIP,O(3),mp-755225,0,1.9541600528205456e-07
NequIP,O(3),mp-7437,0,1.2821438538737133e-07
NequIP,O(3),mp-755925,0,1.470045597739286e-07
NequIP,O(3),mp-1209810,1,1.9444453609232305e-07
NequIP,O(3),mp-694931,1,1.4056130963589823e-07
NequIP,O(3),mp-1111628,1,5.1851182124209623e-08
NequIP,O(3),mp-1188923,1,6.213451396910364e-08
NequIP,O(3),mp-1182484,1,1.2765859204895514e-07
NequIP,O(3),mp-11641,1,1.622684650467906e-07
NequIP,O(3),mp-677242,1,1.3864605534494064e-07
NequIP,O(3),mp-5767,1,2.2518079363174632e-07
NequIP,O(3),mp-1213705,1,1.8327515873783012e-07
NequIP,O(3),mp-1227053,1,8.020830980463483e-08
NequIP,O(3),mp-1174267,1,2.343399994095449e-07
NequIP,O(3),mp-766486,1,1.2969935641512822e-07
NequIP,O(3),mp-754349,1,2.773569345482545e-07
NequIP,O(3),mp-1223924,1,6.402062311781749e-08
NequIP,O(3),mp-1025162,1,6.480546570418572e-08
NequIP,O(3),mp-19965,1,9.151432816108708e-08
NequIP,O(3),mp-15567,1,1.1483740002262158e-07
NequIP,O(3),mp-755225,1,2.195582699623087e-07
NequIP,O(3),mp-7437,1,1.1540007269877731e-07
NequIP,O(3),mp-755925,1,2.0881988492385988e-07
NequIP,O(3),mp-1209810,2,1.8672447468639105e-07
NequIP,O(3),mp-694931,2,8.297470307683524e-08
NequIP,O(3),mp-1111628,2,5.988153219799561e-08
NequIP,O(3),mp-1188923,2,5.74737791961678e-08
NequIP,O(3),mp-1182484,2,1.8923594095075773e-07
NequIP,O(3),mp-11641,2,2.4053861403125235e-07
NequIP,O(3),mp-677242,2,1.338137830105057e-07
NequIP,O(3),mp-5767,2,2.0736279404386656e-07
NequIP,O(3),mp-1213705,2,1.1289669483586352e-07
NequIP,O(3),mp-1227053,2,4.540583595784517e-08
NequIP,O(3),mp-1174267,2,2.0465742099306817e-07
NequIP,O(3),mp-766486,2,1.3904426891153742e-07
NequIP,O(3),mp-754349,2,4.1345466376590335e-07
NequIP,O(3),mp-1223924,2,1.6778964850386228e-07
NequIP,O(3),mp-1025162,2,3.8292874901088205e-08
NequIP,O(3),mp-19965,2,7.833953643829631e-08
NequIP,O(3),mp-15567,2,1.0884719803649081e-07
NequIP,O(3),mp-755225,2,1.916404081212404e-07
NequIP,O(3),mp-7437,2,7.418039390518904e-08
NequIP,O(3),mp-755925,2,2.1211958830711743e-07
NequIP,SO(3),mp-1209810,0,0.6042793886731923
NequIP,SO(3),mp-694931,0,0.3421534024185523
NequIP,SO(3),mp-1111628,0,0.12130352642682227
NequIP,SO(3),mp-1188923,0,0.20886863052902385
NequIP,SO(3),mp-1182484,0,0.7819673003105021
NequIP,SO(3),mp-11641,0,0.37636650541207345
NequIP,SO(3),mp-677242,0,0.2666676163735239
NequIP,SO(3),mp-5767,0,0.4961352667708864
NequIP,SO(3),mp-1213705,0,0.37672743895929944
NequIP,SO(3),mp-1227053,0,0.23831495614788337
NequIP,SO(3),mp-1174267,0,0.6566205954533566
NequIP,SO(3),mp-766486,0,0.3137608220705025
NequIP,SO(3),mp-754349,0,0.6600656121531234
NequIP,SO(3),mp-1223924,0,0.10553979724085388
NequIP,SO(3),mp-1025162,0,0.3893698331276199
NequIP,SO(3),mp-19965,0,0.1593904121459404
NequIP,SO(3),mp-15567,0,0.3959330884991573
NequIP,SO(3),mp-755225,0,0.6207708787369267
NequIP,SO(3),mp-7437,0,0.37120986875738066
NequIP,SO(3),mp-755925,0,0.81874027468341
NequIP,SO(3),mp-1209810,1,0.46868035012920084
NequIP,SO(3),mp-694931,1,0.47161132744632306
NequIP,SO(3),mp-1111628,1,0.2009089909741562
NequIP,SO(3),mp-1188923,1,0.1419799869990152
NequIP,SO(3),mp-1182484,1,0.5032962030436965
NequIP,SO(3),mp-11641,1,0.53325997086871
NequIP,SO(3),mp-677242,1,0.35468037731703295
NequIP,SO(3),mp-5767,1,0.5212988943684471
NequIP,SO(3),mp-1213705,1,0.6110746981809048
NequIP,SO(3),mp-1227053,1,0.21974056073776269
NequIP,SO(3),mp-1174267,1,0.47954842236872786
NequIP,SO(3),mp-766486,1,0.3987044435125116
NequIP,SO(3),mp-754349,1,0.880542701555985
NequIP,SO(3),mp-1223924,1,0.16360482536973828
NequIP,SO(3),mp-1025162,1,0.3636921227353314
NequIP,SO(3),mp-19965,1,0.25402540976336196
NequIP,SO(3),mp-15567,1,0.5972430568041905
NequIP,SO(3),mp-755225,1,0.6837398547451328
NequIP,SO(3),mp-7437,1,0.19687238902633009
NequIP,SO(3),mp-755925,1,0.6824608850287823
NequIP,SO(3),mp-1209810,2,0.5185081841387627
NequIP,SO(3),mp-694931,2,0.3280088613106548
NequIP,SO(3),mp-1111628,2,0.36678081987777494
NequIP,SO(3),mp-1188923,2,0.2399037209979433
NequIP,SO(3),mp-1182484,2,0.516391459051703
NequIP,SO(3),mp-11641,2,0.5360071000408532
NequIP,SO(3),mp-677242,2,0.44171096132331056
NequIP,SO(3),mp-5767,2,0.7214003738500409
NequIP,SO(3),mp-1213705,2,0.5356582555399328
NequIP,SO(3),mp-1227053,2,0.10456327741389014
NequIP,SO(3),mp-1174267,2,0.6772619413286661
NequIP,SO(3),mp-766486,2,0.5357678620138345
NequIP,SO(3),mp-754349,2,0.6546188732891466
NequIP,SO(3),mp-1223924,2,0.10510490569424362
NequIP,SO(3),mp-1025162,2,0.19518944627457746
NequIP,SO(3),mp-19965,2,0.17368633678650053
NequIP,SO(3),mp-15567,2,0.5647180504555632
NequIP,SO(3),mp-755225,2,0.6144338613828085
NequIP,SO(3),mp-7437,2,0.2852139632233173
NequIP,SO(3),mp-755925,2,0.7565473166540135
MACE,O(3),mp-1209810,0,1.0132349871835568e-06
MACE,O(3),mp-694931,0,9.377703231107195e-07
MACE,O(3),mp-1111628,0,2.1714745778765125e-07
MACE,O(3),mp-1188923,0,1.0031168041534938e-06
MACE,O(3),mp-1182484,0,6.558469039678234e-07
MACE,O(3),mp-11641,0,1.4345085592861066e-06
MACE,O(3),mp-677242,0,7.222757092099309e-07
MACE,O(3),mp-5767,0,3.306041150853686e-07
MACE,O(3),mp-1213705,0,1.805426236620904e-06
MACE,O(3),mp-1227053,0,1.2583535430425437e-06
MACE,O(3),mp-1174267,0,1.1461621413398308e-06
MACE,O(3),mp-766486,0,1.3847617692080785e-06
MACE,O(3),mp-754349,0,3.4726775115106473e-07
MACE,O(3),mp-1223924,0,1.1908914235147432e-06
MACE,O(3),mp-1025162,0,3.5976280299046346e-07
MACE,O(3),mp-19965,0,2.3350065134930997e-06
MACE,O(3),mp-15567,0,1.1924189361958307e-06
MACE,O(3),mp-755225,0,1.1778984817215966e-06
MACE,O(3),mp-7437,0,3.1651853762100413e-07
MACE,O(3),mp-755925,0,1.1463479065264476e-06
MACE,O(3),mp-1209810,1,1.1053759269996926e-06
MACE,O(3),mp-694931,1,6.68724922353535e-07
MACE,O(3),mp-1111628,1,3.396463731505361e-07
MACE,O(3),mp-1188923,1,8.262126123040572e-07
MACE,O(3),mp-1182484,1,8.988602407729987e-07
MACE,O(3),mp-11641,1,1.2635379277807815e-06
MACE,O(3),mp-677242,1,1.0840373273579924e-06
MACE,O(3),mp-5767,1,3.2882704943780756e-07
MACE,O(3),mp-1213705,1,1.9990749618093863e-06
MACE,O(3),mp-1227053,1,6.74914554708752e-07
MACE,O(3),mp-1174267,1,1.3123103536986955e-06
MACE,O(3),mp-766486,1,9.774002715635585e-07
MACE,O(3),mp-754349,1,4.2337852539317604e-07
MACE,O(3),mp-1223924,1,6.855321633390751e-07
MACE,O(3),mp-1025162,1,2.567629075104152e-07
MACE,O(3),mp-19965,1,9.545257102548064e-07
