tau,core,arm,false_flag_fraction,sd
0.0681292,NequIP,SO(3),0.841000,0.003500
0.1,Allegro,O(3),0.000000,0.000000
0.1,Allegro,SO(3),0.855333,0.011004
0.1,EquiformerV2,SO(3),0.823833,0.040393
0.1,MACE,O(3),0.000000,0.000000
0.1,MACE,SO(3),0.855000,0.001323
0.1,NequIP,O(3),0.000000,0.000000
0.1,NequIP,SO(3),0.817667,0.004726
0.14678,Allegro,O(3),0.000000,0.000000
0.14678,Allegro,SO(3),0.828000,0.015716
0.14678,EquiformerV2,SO(3),0.771333,0.043762
0.14678,MACE,O(3),0.000000,0.000000
0.14678,MACE,SO(3),0.831667,0.003253
0.14678,NequIP,O(3),0.000000,0.000000
0.14678,NequIP,SO(3),0.784500,0.009165
0.215443,Allegro,O(3),0.000000,0.000000
0.215443,Allegro,SO(3),0.795333,0.018002
0.215443,EquiformerV2,SO(3),0.710167,0.049011
0.215443,MACE,O(3),0.000000,0.000000
0.215443,MACE,SO(3),0.796333,0.006331
0.215443,NequIP,O(3),0.000000,0.000000
0.215443,NequIP,SO(3),0.738667,0.012712
0.316228,Allegro,O(3),0.000000,0.000000
0.316228,Allegro,SO(3),0.747333,0.029540
0.316228,EquiformerV2,SO(3),0.607333,0.066337
0.316228,MACE,O(3),0.000000,0.000000
0.316228,MACE,SO(3),0.752833,0.007489
0.316228,NequIP,O(3),0.000000,0.000000
0.316228,NequIP,SO(3),0.681667,0.013051
0.464159,Allegro,O(3),0.000000,0.000000
0.464159,Allegro,SO(3),0.687000,0.030631
0.464159,EquiformerV2,SO(3),0.479167,0.062870
0.464159,MACE,O(3),0.000000,0.000000
0.464159,MACE,SO(3),0.688333,0.010004
0.464159,NequIP,O(3),0.000000,0.000000
0.464159,NequIP,SO(3),0.601833,0.020744
0.681292,Allegro,O(3),0.000000,0.000000
0.681292,Allegro,SO(3),0.602333,0.037438
0.681292,EquiformerV2,SO(3),0.349500,0.050067
0.681292,MACE,O(3),0.000000,0.000000
0.681292,MACE,SO(3),0.599333,0.017673
0.681292,NequIP,O(3),0.000000,0.000000
0.681292,NequIP,SO(3),0.492000,0.027731
1,Allegro,O(3),0.000000,0.000000
1,Allegro,SO(3),0.480167,0.043279
1,EquiformerV2,SO(3),0.220333,0.026539
1,MACE,O(3),0.000000,0.000000
1,MACE,SO(3),0.467167,0.025867
1,NequIP,O(3),0.000000,0.000000
1,NequIP,SO(3),0.354833,0.042416
