epoch,core,seed,false_flag
72,allegro,1,0.9075
73,allegro,1,0.9045
74,allegro,1,0.9055
75,allegro,1,0.9055
76,allegro,1,0.9065
77,allegro,1,0.908
78,allegro,1,0.909
79,allegro,1,0.907
80,allegro,1,0.9085
81,allegro,1,0.9065
82,allegro,1,0.907
83,allegro,1,0.9085
84,allegro,1,0.9075
85,allegro,1,0.907
86,allegro,1,0.909
87,allegro,1,0.909
88,allegro,1,0.906
89,allegro,1,0.9075
90,allegro,1,0.907
91,allegro,1,0.9075
92,allegro,1,0.9075
93,allegro,1,0.907
94,allegro,1,0.908
95,allegro,1,0.9075
96,allegro,1,0.908
97,allegro,1,0.9075
98,allegro,1,0.9065
99,allegro,1,0.9075
100,allegro,1,0.907
101,allegro,1,0.909
102,allegro,1,0.9095
103,allegro,1,0.908
104,allegro,1,0.909
105,allegro,1,0.9055
106,allegro,1,0.9075
107,allegro,1,0.9085
108,allegro,1,0.908
109,allegro,1,0.906
110,allegro,1,0.9075
111,allegro,1,0.9085
112,allegro,1,0.908
113,allegro,1,0.9095
114,allegro,1,0.909
115,allegro,1,0.9085
116,allegro,1,0.9095
117,allegro,1,0.908
118,allegro,1,0.907
119,allegro,1,0.908
120,allegro,1,0.9075
121,allegro,1,0.908
122,allegro,1,0.9085
123,allegro,1,0.9085
124,allegro,1,0.908
125,allegro,1,0.9105
126,allegro,1,0.91
127,allegro,1,0.907
128,allegro,1,0.908
129,allegro,1,0.909
130,allegro,1,0.9065
131,allegro,1,0.9085
132,allegro,1,0.9075
133,allegro,1,0.908
134,allegro,1,0.9085
135,allegro,1,0.9105
136,allegro,1,0.9075
137,allegro,1,0.9105
138,allegro,1,0.9075
139,allegro,1,0.91
140,allegro,1,0.9075
141,allegro,1,0.9085
142,allegro,1,0.9115
143,allegro,1,0.909
144,allegro,1,0.907
145,allegro,1,0.9095
146,allegro,1,0.9085
147,allegro,1,0.91
148,allegro,1,0.911
149,allegro,1,0.9105
150,allegro,1,0.908
1,allegro,2,0.8835
2,allegro,2,0.872
3,allegro,2,0.8655
4,allegro,2,0.8625
5,allegro,2,0.8565
6,allegro,2,0.85
7,allegro,2,0.8455
8,allegro,2,0.842
9,allegro,2,0.835
10,allegro,2,0.8335
11,allegro,2,0.8335
12,allegro,2,0.8325
13,allegro,2,0.8355
14,allegro,2,0.838
15,allegro,2,0.8415
16,allegro,2,0.8485
17,allegro,2,0.8475
18,allegro,2,0.86
19,allegro,2,0.862
20,allegro,2,0.862
21,allegro,2,0.864
22,allegro,2,0.8725
23,allegro,2,0.8775
24,allegro,2,0.872
25,allegro,2,0.8745
26,allegro,2,0.868
27,allegro,2,0.8845
28,allegro,2,0.8765
29,allegro,2,0.875
30,allegro,2,0.878
31,allegro,2,0.8835
32,allegro,2,0.878
33,allegro,2,0.8805
34,allegro,2,0.888
35,allegro,2,0.8805
36,allegro,2,0.8875
37,allegro,2,0.8875
38,allegro,2,0.888
39,allegro,2,0.89
40,allegro,2,0.886
41,allegro,2,0.8935
42,allegro,2,0.888
43,allegro,2,0.8915
44,allegro,2,0.8895
45,allegro,2,0.892
