core,parity,variant,threshold,false_flag_mean,false_flag_std
allegro,o3,idealized,0.464159,0.000000,0.000000
allegro,o3,idealized,0.681292,0.000000,0.000000
allegro,o3,idealized,1,0.000000,0.000000
allegro,o3,raw,0.0001,0.028167,0.001528
allegro,o3,raw,0.00014678,0.025000,0.001000
allegro,o3,raw,0.000215443,0.019833,0.000764
allegro,o3,raw,0.000316228,0.017167,0.000764
allegro,o3,raw,0.000464159,0.013167,0.000764
allegro,o3,raw,0.000681292,0.009833,0.000289
allegro,o3,raw,0.001,0.007000,0.000500
allegro,o3,raw,0.0014678,0.004167,0.000577
allegro,o3,raw,0.00215443,0.003333,0.000577
allegro,o3,raw,0.00316228,0.001500,0.001000
allegro,o3,raw,0.00464159,0.000667,0.000764
allegro,o3,raw,0.00681292,0.000333,0.000577
allegro,o3,raw,0.01,0.000000,0.000000
allegro,o3,raw,0.014678,0.000000,0.000000
allegro,o3,raw,0.0215443,0.000000,0.000000
allegro,o3,raw,0.0316228,0.000000,0.000000
allegro,o3,raw,0.0464159,0.000000,0.000000
allegro,o3,raw,0.0681292,0.000000,0.000000
allegro,o3,raw,0.1,0.000000,0.000000
allegro,o3,raw,0.14678,0.000000,0.000000
allegro,o3,raw,0.215443,0.000000,0.000000
allegro,o3,raw,0.316228,0.000000,0.000000
allegro,o3,raw,0.464159,0.000000,0.000000
allegro,o3,raw,0.681292,0.000000,0.000000
allegro,o3,raw,1,0.000000,0.000000
allegro,so3,idealized,0.0001,0.916833,0.000289
allegro,so3,idealized,0.00014678,0.916833,0.000289
allegro,so3,idealized,0.000215443,0.916500,0.000500
allegro,so3,idealized,0.000316228,0.916333,0.000289
allegro,so3,idealized,0.000464159,0.916000,0.000500
allegro,so3,idealized,0.000681292,0.915833,0.000289
allegro,so3,idealized,0.001,0.915500,0.000500
allegro,so3,idealized,0.0014678,0.915500,0.000500
allegro,so3,idealized,0.00215443,0.914333,0.000577
allegro,so3,idealized,0.00316228,0.914167,0.000289
