tau,core,arm,false_flag_fraction,sd
0.0464159,EquiformerV2,SO(3),0.892500,0.023060
0.0464159,MACE,O(3),0.000000,0.000000
0.0464159,MACE,SO(3),0.883833,0.004252
0.0464159,NequIP,O(3),0.000000,0.000000
0.0464159,NequIP,SO(3),0.859167,0.002082
0.0681292,Allegro,O(3),0.000000,0.000000
0.0681292,Allegro,SO(3),0.872833,0.012014
0.0681292,EquiformerV2,SO(3),0.863000,0.030377
0.0681292,MACE,O(3),0.000000,0.000000
0.0681292,MACE,SO(3),0.872000,0.000500
0.0681292,NequIP,O(3),0.000000,0.000000
0.0681292,NequIP,SO(3),0.841333,0.003512
0.1,Allegro,O(3),0.000000,0.000000
0.1,Allegro,SO(3),0.855667,0.011015
0.1,EquiformerV2,SO(3),0.824000,0.039633
0.1,MACE,O(3),0.000000,0.000000
0.1,MACE,SO(3),0.855500,0.001000
0.1,NequIP,O(3),0.000000,0.000000
0.1,NequIP,SO(3),0.818000,0.004822
0.14678,Allegro,O(3),0.000000,0.000000
0.14678,Allegro,SO(3),0.828333,0.015177
0.14678,EquiformerV2,SO(3),0.772500,0.042729
0.14678,MACE,O(3),0.000000,0.000000
0.14678,MACE,SO(3),0.832500,0.003279
0.14678,NequIP,O(3),0.000000,0.000000
0.14678,NequIP,SO(3),0.785500,0.008675
0.215443,Allegro,O(3),0.000000,0.000000
0.215443,Allegro,SO(3),0.796667,0.018009
0.215443,EquiformerV2,SO(3),0.710833,0.049245
0.215443,MACE,O(3),0.000000,0.000000
0.215443,MACE,SO(3),0.797333,0.006171
0.215443,NequIP,O(3),0.000000,0.000000
0.215443,NequIP,SO(3),0.739833,0.012493
0.316228,Allegro,O(3),0.000000,0.000000
0.316228,Allegro,SO(3),0.749167,0.029412
0.316228,EquiformerV2,SO(3),0.611167,0.064812
0.316228,MACE,O(3),0.000000,0.000000
0.316228,MACE,SO(3),0.754333,0.008129
0.316228,NequIP,O(3),0.000000,0.000000
0.316228,NequIP,SO(3),0.682833,0.013512
0.464159,Allegro,O(3),0.000000,0.000000
0.464159,Allegro,SO(3),0.688333,0.030718
0.464159,EquiformerV2,SO(3),0.482833,0.064012
0.464159,MACE,O(3),0.000000,0.000000
0.464159,MACE,SO(3),0.689667,0.010017
0.464159,NequIP,O(3),0.000000,0.000000
0.464159,NequIP,SO(3),0.604167,0.021197
0.681292,Allegro,O(3),0.000000,0.000000
0.681292,Allegro,SO(3),0.604500,0.038311
0.681292,EquiformerV2,SO(3),0.353167,0.050163
0.681292,MACE,O(3),0.000000,0.000000
0.681292,MACE,SO(3),0.602167,0.016646
0.681292,NequIP,O(3),0.000000,0.000000
0.681292,NequIP,SO(3),0.495000,0.027753
1,Allegro,O(3),0.000000,0.000000
1,Allegro,SO(3),0.483333,0.043337
1,EquiformerV2,SO(3),0.222500,0.026754
1,MACE,O(3),0.000000,0.000000
1,MACE,SO(3),0.470167,0.025867
1,NequIP,O(3),0.000000,0.000000
1,NequIP,SO(3),0.357000,0.042128
